SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-04-08 00:00:00,4.254931391568197,0.166,6.6
2026-04-08 01:00:00,3.7946378134481487,0.123,6.4
2026-04-08 02:00:00,3.6256438455040287,0.071,6.1
2026-04-08 03:00:00,3.593265934896009,0.05,5.8
2026-04-08 04:00:00,3.5718030097073115,0.049,5.5
2026-04-08 05:00:00,3.3915440407748445,0.058,5.2
2026-04-08 06:00:00,3.256309172311995,0.073,5.1
2026-04-08 07:00:00,2.992449620416595,0.062,5.6
2026-04-08 08:00:00,2.6215089780404774,0.039,6.5
2026-04-08 09:00:00,2.222291769805225,0.012,7.7
2026-04-08 10:00:00,1.773841455799794,0.003,8.8
2026-04-08 11:00:00,1.6960735314265762,0.035,9.9
2026-04-08 12:00:00,2.032285280493051,0.118,10.8
2026-04-08 13:00:00,2.4692924649675807,0.195,11.2
2026-04-08 14:00:00,2.668170191178342,0.254,11.5
2026-04-08 15:00:00,2.825712421852184,0.278,11.5
2026-04-08 16:00:00,2.7997946107735405,0.203,11.6
2026-04-08 17:00:00,2.7404939050098402,0.096,11.3
2026-04-08 18:00:00,2.5704751411487377,0.046,10.8
2026-04-08 19:00:00,2.576416353826375,0.01,10.2
2026-04-08 20:00:00,3.1773476097924895,0.002,10.0
2026-04-08 21:00:00,3.642931647254839,0.021,10.1
2026-04-08 22:00:00,4.423312216798022,0.065,10.0
2026-04-08 23:00:00,5.370580979852747,0.136,10.1
2026-04-09 00:00:00,6.113631256493554,0.22,10.1
2026-04-09 01:00:00,6.5254676861909005,0.317,10.3
2026-04-09 02:00:00,7.599031088086941,0.4,10.5
2026-04-09 03:00:00,7.8378827801095206,0.484,10.6
2026-04-09 04:00:00,7.998405177939987,0.552,10.4
2026-04-09 05:00:00,8.222785087796243,0.611,10.3
2026-04-09 06:00:00,7.96649026947591,0.665,10.3
2026-04-09 07:00:00,8.240311021273586,0.638,10.8
2026-04-09 08:00:00,8.15929584361735,0.668,11.3
2026-04-09 09:00:00,7.782475741601434,0.79,12.1
2026-04-09 10:00:00,9.306077078062344,1.152,12.9
2026-04-09 11:00:00,10.884360080151229,2.028,13.6
2026-04-09 12:00:00,11.878074729758136,3.137,14.2
2026-04-09 13:00:00,12.791891618171354,3.827,14.8
2026-04-09 14:00:00,13.428393247907133,4.183,15.6
2026-04-09 15:00:00,15.08728189851973,4.103,15.9
2026-04-09 16:00:00,14.425125994782377,3.246,16.0
2026-04-09 17:00:00,13.8867803023042,2.089,15.7
2026-04-09 18:00:00,13.393929608495274,1.412,15.0
2026-04-09 19:00:00,12.25296473931224,1.147,14.4
2026-04-09 20:00:00,11.182220100729285,0.993,14.0
2026-04-09 21:00:00,10.794554497466063,0.997,13.7
2026-04-09 22:00:00,10.93845688239922,1.106,13.5
2026-04-09 23:00:00,11.294605994148712,1.367,13.1
2026-04-10 00:00:00,10.984077181217364,1.463,12.7
2026-04-10 01:00:00,10.436752222172617,1.382,12.3
2026-04-10 02:00:00,9.781898677817107,1.327,11.8
2026-04-10 03:00:00,8.923077053920998,1.193,11.2
2026-04-10 04:00:00,8.36884506546809,1.014,10.9
