SYSDATETIME,WIND_SPEED_CORRECTED,WAVE_HEIGHT,TEMPERATURE
2026-05-20 00:00:00,6.370438369408728,0.658,19.6
2026-05-20 01:00:00,6.569717960420424,0.615,18.9
2026-05-20 02:00:00,6.561104173066758,0.527,18.6
2026-05-20 03:00:00,6.936983644045023,0.542,18.3
2026-05-20 04:00:00,7.32916907083996,0.558,18.3
2026-05-20 05:00:00,7.419902932642206,0.552,18.2
2026-05-20 06:00:00,7.021579531602132,0.542,18.2
2026-05-20 07:00:00,7.716724159090185,0.501,18.3
2026-05-20 08:00:00,6.207914901024178,0.439,18.4
2026-05-20 09:00:00,6.243327679148544,0.429,18.7
2026-05-20 10:00:00,6.383870837971313,0.445,18.9
2026-05-20 11:00:00,6.718970699615778,0.51,19.2
2026-05-20 12:00:00,8.150914850957038,0.586,19.4
2026-05-20 13:00:00,9.600706292004006,0.665,19.5
2026-05-20 14:00:00,10.425089106099733,0.79,19.5
2026-05-20 15:00:00,10.01528997705893,0.828,19.6
2026-05-20 16:00:00,10.139781089929043,0.816,19.5
2026-05-20 17:00:00,10.852372558210574,0.786,19.4
2026-05-20 18:00:00,11.093210358159292,0.76,19.5
2026-05-20 19:00:00,11.904862251324882,0.839,19.6
2026-05-20 20:00:00,12.332782995705328,1.053,19.8
2026-05-20 21:00:00,12.450156213771898,1.17,19.7
2026-05-20 22:00:00,12.2933627140682,1.01,19.7
2026-05-20 23:00:00,11.503804604289018,0.771,19.6
2026-05-21 00:00:00,10.81025006625709,0.583,19.3
2026-05-21 01:00:00,10.130382010383848,0.458,19.0
2026-05-21 02:00:00,9.351358303274361,0.344,18.5
2026-05-21 03:00:00,8.31621946104284,0.287,17.8
2026-05-21 04:00:00,7.831446317713441,0.287,17.5
2026-05-21 05:00:00,8.07687811955251,0.315,17.2
2026-05-21 06:00:00,8.513555487595225,0.368,17.0
2026-05-21 07:00:00,8.083072502925127,0.47,16.9
2026-05-21 08:00:00,7.908008347512472,0.706,17.0
2026-05-21 09:00:00,8.155477564058415,0.927,17.0
2026-05-21 10:00:00,8.091049690917053,1.019,17.0
2026-05-21 11:00:00,7.755969166285941,1.019,17.0
2026-05-21 12:00:00,7.496430169668532,1.019,17.2
2026-05-21 13:00:00,7.107811873400719,0.898,17.3
2026-05-21 14:00:00,6.64748215732628,0.742,17.2
2026-05-21 15:00:00,5.68364096583252,0.542,17.3
2026-05-21 16:00:00,4.91493576964041,0.306,17.3
2026-05-21 17:00:00,3.9663486846858853,0.134,17.2
2026-05-21 18:00:00,3.4967958990420565,0.047,17.2
2026-05-21 19:00:00,2.8471206277157797,0.005,17.1
2026-05-21 20:00:00,3.471642947232043,0.003,17.0
2026-05-21 21:00:00,4.085790869878299,0.023,17.0
2026-05-21 22:00:00,4.298646868158885,0.016,17.1
2026-05-21 23:00:00,4.153615846585626,0.012,17.1
2026-05-22 00:00:00,4.104092482647748,0.024,17.0
2026-05-22 01:00:00,3.6838928054070292,0.015,17.1
2026-05-22 02:00:00,3.383795900975476,0.015,17.2
2026-05-22 03:00:00,3.596724400459541,0.025,17.3
2026-05-22 04:00:00,3.383308437448261,0.02,17.3
2026-05-22 05:00:00,3.298630022266453,0.01,17.3
2026-05-22 06:00:00,3.1974900679288787,0.006,17.3
2026-05-22 07:00:00,2.5373437207777005,0.01,17.8
2026-05-22 08:00:00,2.5908944284402162,0.024,18.4
2026-05-22 09:00:00,2.5584815011637074,0.02,18.7
2026-05-22 10:00:00,2.162270901784582,0.024,19.0
2026-05-22 11:00:00,2.458304460396994,0.241,19.8
2026-05-22 12:00:00,2.803279657352747,0.567,20.4
2026-05-22 13:00:00,3.0990780259706177,0.51,20.4
2026-05-22 14:00:00,3.281744103294033,0.326,20.5
2026-05-22 15:00:00,3.0931176666266733,0.241,20.5
2026-05-22 16:00:00,2.945117666626673,0.203,20.4
2026-05-22 17:00:00,3.0222236330561523,0.166,20.3
2026-05-22 18:00:00,3.152746446827702,0.123,19.6
2026-05-22 19:00:00,2.7853891145212453,0.089,18.8
2026-05-22 20:00:00,2.436290827433578,0.054,18.2
2026-05-22 21:00:00,2.2827102952390135,0.023,17.9
2026-05-22 22:00:00,2.029800606346959,0.003,17.6
2026-05-22 23:00:00,2.7801066681728193,0.015,17.4
2026-05-23 00:00:00,3.3088017387516073,0.058,17.2
2026-05-23 01:00:00,3.9194100694049148,0.092,16.9
2026-05-23 02:00:00,3.968762431700181,0.089,16.6
2026-05-23 03:00:00,3.635950567135392,0.076,16.5
2026-05-23 04:00:00,3.366093240362718,0.041,16.3
2026-05-23 05:00:00,2.822470697182644,0.015,16.2
2026-05-23 06:00:00,2.6916848698515077,0.002,16.4
2026-05-23 07:00:00,2.9949143760186274,0.002,16.8
2026-05-23 08:00:00,3.336389207689713,0.028,17.5
2026-05-23 09:00:00,3.5827548448100486,0.072,18.1
2026-05-23 10:00:00,3.495007981337457,0.077,18.6
2026-05-23 11:00:00,2.650856105442176,0.114,19.2
2026-05-23 12:00:00,2.3891566724067,0.113,19.8
2026-05-23 13:00:00,2.1966235825332934,0.065,20.0
2026-05-23 14:00:00,3.2972704039982172,0.254,20.4
2026-05-23 15:00:00,4.440637237001559,0.661,20.1
2026-05-23 16:00:00,4.845583683339129,0.727,20.4
2026-05-23 17:00:00,5.043448012597212,0.567,20.2
2026-05-23 18:00:00,5.340913079945393,0.413,19.7
2026-05-23 19:00:00,5.960149030296866,0.368,18.7
2026-05-23 20:00:00,5.9241531060474415,0.321,18.1
2026-05-23 21:00:00,5.3587944957170155,0.243,17.8
2026-05-23 22:00:00,4.49626036742959,0.107,17.6
2026-05-23 23:00:00,3.5744572818267444,0.027,17.2
2026-05-24 00:00:00,3.2155671685637226,0.008,17.0
2026-05-24 01:00:00,2.8714986256740502,0.004,16.7
2026-05-24 02:00:00,2.7159792370969953,0.006,16.6
2026-05-24 03:00:00,2.7441149035693186,0.012,16.4
2026-05-24 04:00:00,2.592855226780337,0.02,16.2
2026-05-24 05:00:00,2.539845062698689,0.03,16.1
2026-05-24 06:00:00,2.4588225192030944,0.048,16.4
2026-05-24 07:00:00,2.488707729397186,0.051,17.3
2026-05-24 08:00:00,2.5559176381670783,0.051,18.4
2026-05-24 09:00:00,2.6089841927443738,0.048,19.5
2026-05-24 10:00:00,2.8893854097413674,0.068,20.4
2026-05-24 11:00:00,3.097598910502189,0.154,21.3
2026-05-24 12:00:00,3.426082450819126,0.299,21.9
2026-05-24 13:00:00,4.037577015569305,0.453,22.0
2026-05-24 14:00:00,4.508052728419381,0.608,21.9
2026-05-24 15:00:00,4.654510265328499,0.651,21.5
2026-05-24 16:00:00,4.575703316663723,0.545,21.0
2026-05-24 17:00:00,4.38506747037726,0.39,20.7
2026-05-24 18:00:00,4.042701069476268,0.237,20.2
2026-05-24 19:00:00,3.6203359216772486,0.091,19.6
2026-05-24 20:00:00,2.822881002420441,0.023,19.1
2026-05-24 21:00:00,3.0576773787848683,0.015,18.7
2026-05-24 22:00:00,3.1244059362117027,0.02,18.4
2026-05-24 23:00:00,3.136579249676311,0.04,18.1
2026-05-25 00:00:00,3.0220578583144397,0.063,17.9
2026-05-25 01:00:00,2.892385763091786,0.054,17.6
2026-05-25 02:00:00,2.5671504907467613,0.029,17.4
2026-05-25 03:00:00,2.6176717064241686,0.019,17.1
2026-05-25 04:00:00,2.6859371247094668,0.017,16.9
2026-05-25 05:00:00,2.7527132327836017,0.012,16.7
2026-05-25 06:00:00,2.7386326551596722,0.013,17.0
2026-05-25 07:00:00,2.505639524609824,0.011,17.9
2026-05-25 08:00:00,2.1810700129841365,0.009,19.3
2026-05-25 09:00:00,2.080097552062579,0.006,20.5
2026-05-25 10:00:00,2.3037223757461875,0.003,21.5
2026-05-25 11:00:00,2.8605379363278782,0.001,22.4
2026-05-25 12:00:00,3.106804559077512,0.005,23.2
2026-05-25 13:00:00,3.526957638431561,0.036,23.6
2026-05-25 14:00:00,4.4474591849028275,0.13,23.6
2026-05-25 15:00:00,5.215982492875999,0.228,23.5
2026-05-25 16:00:00,5.90542829306106,0.237,23.2
2026-05-25 17:00:00,6.4477493001827755,0.196,22.7
2026-05-25 18:00:00,6.69639608877729,0.1,22.2
2026-05-25 19:00:00,5.5314513769725515,0.005,21.7
2026-05-25 20:00:00,6.798844640272013,0.03,21.4
2026-05-25 21:00:00,6.480793729765382,0.201,21.1
2026-05-25 22:00:00,6.30899228138972,0.287,21.0
2026-05-25 23:00:00,6.067662537809229,0.27,20.9
2026-05-26 00:00:00,5.489587583343033,0.295,20.8
2026-05-26 01:00:00,6.055891519929497,0.47,20.8
2026-05-26 02:00:00,7.806260679546169,0.72,20.9
2026-05-26 03:00:00,8.341341902754623,0.828,20.9
2026-05-26 04:00:00,7.301364169390869,0.595,21.0
2026-05-26 05:00:00,6.866594330795523,0.297,21.0
2026-05-26 06:00:00,6.624502687044773,0.206,21.2
2026-05-26 07:00:00,6.597753604659371,0.241,21.3
2026-05-26 08:00:00,6.410802159250794,0.335,21.5
2026-05-26 09:00:00,6.545261242206215,0.445,21.8
2026-05-26 10:00:00,6.769544201957712,0.484,22.0
2026-05-26 11:00:00,7.350991519950922,0.498,22.4
2026-05-26 12:00:00,8.482668972530952,0.498,22.6
2026-05-26 13:00:00,8.436728577246884,0.484,22.6
2026-05-26 14:00:00,8.375607339851014,0.47,22.5
2026-05-26 15:00:00,8.552416770825086,0.437,22.4
2026-05-26 16:00:00,8.710226991322799,0.448,22.2
2026-05-26 17:00:00,8.782122356744418,0.475,21.9
2026-05-26 18:00:00,8.848850681437225,0.524,21.6
2026-05-26 19:00:00,8.17855293233142,0.602,21.3
2026-05-26 20:00:00,8.51108093371726,0.703,21.0
2026-05-26 21:00:00,9.102886077719132,0.79,20.8
2026-05-26 22:00:00,8.147110046791893,0.797,20.6
2026-05-26 23:00:00,7.506640323070072,0.778,20.5
2026-05-27 00:00:00,7.841690698251409,0.727,20.3
2026-05-27 01:00:00,8.080593330154457,0.682,20.2
2026-05-27 02:00:00,8.162057169413055,0.595,19.9
2026-05-27 03:00:00,8.075688907369438,0.516,19.8
2026-05-27 04:00:00,7.8940246662894555,0.484,19.7
2026-05-27 05:00:00,7.679123190590749,0.478,19.7
2026-05-27 06:00:00,7.771938985607485,0.453,19.8
2026-05-27 07:00:00,7.7941058488552954,0.429,20.0
2026-05-27 08:00:00,8.00152806506303,0.393,20.4
2026-05-27 09:00:00,8.031213112893967,0.344,20.7
2026-05-27 10:00:00,7.965523698854582,0.28,21.1
2026-05-27 11:00:00,8.389648539680401,0.208,21.6
2026-05-27 12:00:00,8.36955034683533,0.163,22.0
2026-05-27 13:00:00,8.384812207091398,0.139,22.3
2026-05-27 14:00:00,8.517421445722787,0.116,22.4
2026-05-27 15:00:00,8.614066795917248,0.099,22.4
2026-05-27 16:00:00,8.589209702570626,0.076,22.3
2026-05-27 17:00:00,8.434234540805827,0.054,22.0
2026-05-27 18:00:00,8.073298281133326,0.041,21.7
2026-05-27 19:00:00,8.326996758000119,0.038,21.3
2026-05-27 20:00:00,8.407721872936818,0.039,20.8
2026-05-27 21:00:00,8.148588109868628,0.054,20.4
2026-05-27 22:00:00,7.395896298730804,0.062,20.2
2026-05-27 23:00:00,6.6553725908168335,0.065,19.6
2026-05-28 00:00:00,6.271390049511276,0.071,19.0
2026-05-28 01:00:00,5.975779189939093,0.071,18.5
2026-05-28 02:00:00,5.751874365484538,0.062,18.0
2026-05-28 03:00:00,5.191682005616713,0.048,17.7
2026-05-28 04:00:00,4.942873945658474,0.028,17.7
2026-05-28 05:00:00,4.51347572369784,0.012,17.8
2026-05-28 06:00:00,4.302153262621565,0.008,18.2
2026-05-28 07:00:00,4.1313951218705025,0.018,18.9
2026-05-28 08:00:00,4.315075938635548,0.049,19.9
2026-05-28 09:00:00,4.7517436972698475,0.086,20.7
2026-05-28 10:00:00,4.813861660999287,0.11,21.2
2026-05-28 11:00:00,4.441569822243632,0.125,21.5
2026-05-28 12:00:00,4.565909834149979,0.134,21.8
2026-05-28 13:00:00,5.05752437447241,0.145,22.0
2026-05-28 14:00:00,5.357805295394994,0.141,22.1
2026-05-28 15:00:00,5.121109188301176,0.141,22.1
2026-05-28 16:00:00,4.987883588265852,0.143,21.8
2026-05-28 17:00:00,4.880872596641832,0.132,21.4
2026-05-28 18:00:00,4.754581874202834,0.125,20.8
2026-05-28 19:00:00,4.558052729230029,0.123,20.1
2026-05-28 20:00:00,4.587104255443396,0.116,19.4
2026-05-28 21:00:00,4.6459021427916145,0.116,18.8
2026-05-28 22:00:00,4.062392277528292,0.12,18.4
2026-05-28 23:00:00,3.6958824446064544,0.118,18.1
2026-05-29 00:00:00,3.664729999469264,0.127,17.8
2026-05-29 01:00:00,4.235745738113806,0.136,17.5
2026-05-29 02:00:00,4.870745738113806,0.145,17.3
2026-05-29 03:00:00,5.426528943408884,0.15,17.2
2026-05-29 04:00:00,5.7285877029955,0.186,17.2
2026-05-29 05:00:00,6.02052068680185,0.306,17.2
2026-05-29 06:00:00,6.221717391832496,0.467,17.5
2026-05-29 07:00:00,6.414215601080606,0.699,18.3
2026-05-29 08:00:00,6.865314724098448,1.014,19.2
2026-05-29 09:00:00,7.07193372143421,1.308,19.9
2026-05-29 10:00:00,6.737934815893746,1.458,20.1
2026-05-29 11:00:00,6.197067901940799,1.589,20.1
2026-05-29 12:00:00,6.173687952003595,1.655,20.2
2026-05-29 13:00:00,6.252419672195273,1.721,20.3
2026-05-29 14:00:00,6.087986741642516,1.726,20.4
2026-05-29 15:00:00,6.089741665445607,1.715,20.4
2026-05-29 16:00:00,5.789470406117459,1.6,20.2
2026-05-29 17:00:00,5.684820997293273,1.417,19.8
2026-05-29 18:00:00,5.502885739298578,1.245,19.4
2026-05-29 19:00:00,5.401016539277437,1.049,18.8
2026-05-29 20:00:00,5.269968865844886,0.847,18.2
2026-05-29 21:00:00,5.208219447213318,0.692,17.7
2026-05-29 22:00:00,5.127833472964991,0.602,17.4
2026-05-29 23:00:00,5.210248614511798,0.561,17.3
2026-05-30 00:00:00,5.3052486145117985,0.524,17.3
2026-05-30 01:00:00,5.0140570126124295,0.492,17.2
2026-05-30 02:00:00,4.832566883099191,0.439,17.1
2026-05-30 03:00:00,4.5021630468605744,0.368,17.2
2026-05-30 04:00:00,4.0255172266694315,0.27,17.2
2026-05-30 05:00:00,3.464911892693315,0.154,17.4
2026-05-30 06:00:00,3.0970738893961274,0.08,17.7
2026-05-30 07:00:00,2.8639857190371707,0.034,18.2
2026-05-30 08:00:00,2.8500273465725217,0.013,19.0
2026-05-30 09:00:00,3.2071024610078784,0.015,19.5
2026-05-30 10:00:00,3.5762567175199598,0.035,20.0
2026-05-30 11:00:00,3.754448052235516,0.077,20.3
2026-05-30 12:00:00,3.749944048272866,0.128,21.4
2026-05-30 13:00:00,3.73188194580019,0.193,21.7
2026-05-30 14:00:00,4.122030737608743,0.268,21.8
2026-05-30 15:00:00,4.398063170641381,0.295,21.7
2026-05-30 16:00:00,4.778734434338823,0.25,21.3
2026-05-30 17:00:00,4.691667633354952,0.193,20.7
2026-05-30 18:00:00,4.264187691111512,0.136,19.9
2026-05-30 19:00:00,4.102609740753714,0.101,19.1
2026-05-30 20:00:00,4.2233697764236116,0.097,18.3
2026-05-30 21:00:00,4.220784782480384,0.101,17.7
2026-05-30 22:00:00,4.341360821276538,0.115,17.3
2026-05-30 23:00:00,4.4675203363460385,0.129,17.1
2026-05-31 00:00:00,4.491805622902702,0.145,17.0
2026-05-31 01:00:00,4.520708912801168,0.163,16.8
2026-05-31 02:00:00,5.189962504903241,0.178,16.8
2026-05-31 03:00:00,6.793656113761207,0.193,16.0
2026-05-31 04:00:00,6.053517331052215,0.213,16.2
2026-05-31 05:00:00,5.684404140213895,0.235,16.6
2026-05-31 06:00:00,5.609152563282984,0.254,17.2
2026-05-31 07:00:00,5.595852596049762,0.254,18.3
2026-05-31 08:00:00,5.482890848646918,0.246,19.5
2026-05-31 09:00:00,5.286554097657161,0.219,20.6
2026-05-31 10:00:00,5.010326508675631,0.198,21.0
2026-05-31 11:00:00,5.204789761664205,0.258,21.2
2026-05-31 12:00:00,5.539624745909599,0.368,21.4
2026-05-31 13:00:00,6.567943827214844,0.58,21.3
2026-05-31 14:00:00,7.575658938644457,0.855,21.2
2026-05-31 15:00:00,8.271050499796635,1.049,20.8
2026-05-31 16:00:00,8.344696148418599,0.997,20.2
2026-05-31 17:00:00,8.233123772660443,0.89,19.5
2026-05-31 18:00:00,8.175835783605201,0.87,18.8
2026-05-31 19:00:00,7.925612723954218,0.959,18.0
2026-05-31 20:00:00,8.25736915964606,1.156,17.2
2026-05-31 21:00:00,7.9662792496484425,1.367,16.5
2026-05-31 22:00:00,7.88546647572893,1.468,16.2
2026-05-31 23:00:00,7.59947165384955,1.499,16.0
2026-06-01 00:00:00,7.481422630751775,1.453,15.9
2026-06-01 01:00:00,7.143951031235231,1.357,15.8
2026-06-01 02:00:00,6.668837510980733,1.264,15.6
2026-06-01 03:00:00,6.283401442054255,1.102,15.6
2026-06-01 04:00:00,5.641767969568531,0.927,15.6
2026-06-01 05:00:00,5.578169341527203,0.764,15.7
2026-06-01 06:00:00,5.407471981092013,0.631,16.0
2026-06-01 07:00:00,5.225015362399121,0.524,16.6
2026-06-01 08:00:00,5.08972185101981,0.439,17.5
2026-06-01 09:00:00,5.259865148494911,0.39,18.4
2026-06-01 10:00:00,5.713268219116684,0.413,19.4
2026-06-01 11:00:00,6.463646812836923,0.495,20.2
2026-06-01 12:00:00,7.256313590070303,0.615,20.9
2026-06-01 13:00:00,7.97458418608663,0.775,21.1
2026-06-01 14:00:00,8.642681969876408,0.985,21.0
2026-06-01 15:00:00,9.123624096774746,1.152,20.8
2026-06-01 16:00:00,9.138617000585848,1.193,20.5
2026-06-01 17:00:00,9.234700260495861,1.093,20.1
2026-06-01 18:00:00,8.915144036717914,0.972,19.5
2026-06-01 19:00:00,8.736873174735827,0.847,18.8
2026-06-01 20:00:00,8.747662041485704,0.71,17.8
2026-06-01 21:00:00,8.514059782979452,0.536,17.0
2026-06-01 22:00:00,8.340286883829341,0.356,16.6
2026-06-01 23:00:00,7.7334709544898095,0.186,16.4
2026-06-02 00:00:00,7.353710682085184,0.09,16.4
2026-06-02 01:00:00,6.892054069414545,0.034,16.1
2026-06-02 02:00:00,6.160854368883539,0.009,16.0
2026-06-02 03:00:00,5.897265098810696,0.003,15.8
2026-06-02 04:00:00,6.009199114367902,0.001,15.8
2026-06-02 05:00:00,5.756459395992521,0.005,16.0
2026-06-02 06:00:00,5.920070398247631,0.023,16.5
2026-06-02 07:00:00,6.241452140930623,0.059,17.7
2026-06-02 08:00:00,6.916144986392704,0.127,19.4
2026-06-02 09:00:00,7.433043179555582,0.213,20.6
2026-06-02 10:00:00,7.52603213856618,0.27,21.3
2026-06-02 11:00:00,7.803494964314776,0.304,21.7
2026-06-02 12:00:00,7.793265620684673,0.342,22.0
2026-06-02 13:00:00,7.751229459570352,0.361,22.0
2026-06-02 14:00:00,7.816958309891512,0.349,22.0
2026-06-02 15:00:00,7.600837033869318,0.335,21.8
2026-06-02 16:00:00,6.860377534886106,0.287,21.2
2026-06-02 17:00:00,5.9192446486655115,0.233,20.5
2026-06-02 18:00:00,5.419885262984728,0.172,19.8
2026-06-02 19:00:00,5.197567996456526,0.121,19.1
2026-06-02 20:00:00,5.17279999030279,0.069,18.5
2026-06-02 21:00:00,5.005645889750016,0.031,18.0
2026-06-02 22:00:00,4.722871142639253,0.012,17.4
2026-06-02 23:00:00,4.834872411575271,0.012,17.1
