SYSDATETIME,WIND_SPEED_CORRECTED,POWER_PER_TURBINE,POWER_TOTAL
2026-05-15 00:00:00,2.698292481030974,42.1,842.4
2026-05-15 01:00:00,3.188348906022526,66.1,1321.7
2026-05-15 02:00:00,3.539490040853339,64.9,1297.9
2026-05-15 03:00:00,3.699903923618533,90.0,1799.9
2026-05-15 04:00:00,3.824300112367636,110.9,2217.6
2026-05-15 05:00:00,3.6307671705610014,79.6,1592.9
2026-05-15 06:00:00,3.506450853748812,62.5,1249.5
2026-05-15 07:00:00,3.393415772725871,54.8,1095.6
2026-05-15 08:00:00,3.103576717172833,67.7,1353.9
2026-05-15 09:00:00,2.5107002222070687,43.5,870.4
2026-05-15 10:00:00,2.213125655670522,43.7,873.9
2026-05-15 11:00:00,2.6207298960861545,43.0,859.8
2026-05-15 12:00:00,3.18288555554564,66.8,1336.1
2026-05-15 13:00:00,4.031830856880839,145.6,2911.1
2026-05-15 14:00:00,4.843891510054836,292.8,5855.9
2026-05-15 15:00:00,5.298838732957951,398.4,7967.8
2026-05-15 16:00:00,5.005572856665321,322.1,6442.5
2026-05-15 17:00:00,4.294895224539893,189.5,3789.2
2026-05-15 18:00:00,3.646809420809441,81.9,1638.9
2026-05-15 19:00:00,3.1696875173624184,65.4,1308.1
2026-05-15 20:00:00,2.8262091390752544,42.3,846.0
2026-05-15 21:00:00,3.0609519040727524,65.6,1312.4
2026-05-15 22:00:00,2.813780179257713,43.7,874.2
2026-05-15 23:00:00,2.3318507349000326,42.5,850.4
2026-05-16 00:00:00,2.2314878376329155,42.1,842.4
2026-05-16 01:00:00,2.101427227174369,42.1,842.0
2026-05-16 02:00:00,1.9363921950666645,43.5,869.2
2026-05-16 03:00:00,1.649102601412027,43.0,860.2
2026-05-16 04:00:00,1.6349140514079183,42.4,848.8
2026-05-16 05:00:00,1.978908794097837,42.0,840.6
2026-05-16 06:00:00,2.4483260041747448,42.0,840.6
2026-05-16 07:00:00,2.7374671714237158,42.5,850.9
2026-05-16 08:00:00,2.5908945094157683,43.7,873.7
2026-05-16 09:00:00,2.352252619307205,43.5,870.4
2026-05-16 10:00:00,2.53449036902746,43.7,873.9
2026-05-16 11:00:00,2.801525475949931,43.0,859.8
2026-05-16 12:00:00,3.404879873202271,57.1,1141.8
2026-05-16 13:00:00,3.838630675843345,110.5,2210.5
2026-05-16 14:00:00,4.3357592484709935,192.4,3847.1
2026-05-16 15:00:00,4.748869084648691,273.7,5473.2
2026-05-16 16:00:00,5.093479010079979,346.2,6923.6
2026-05-16 17:00:00,5.055035138414805,339.1,6782.7
2026-05-16 18:00:00,4.701366752933201,260.4,5207.3
2026-05-16 19:00:00,4.115749023726345,156.1,3122.1
2026-05-16 20:00:00,3.223943928286835,60.1,1203.0
2026-05-16 21:00:00,2.9134270166046905,59.4,1188.7
2026-05-16 22:00:00,2.382819734813686,43.7,874.2
2026-05-16 23:00:00,1.9564804661511752,42.5,850.4
2026-05-17 00:00:00,1.927755501419798,42.1,842.4
