SYSDATETIME,WTG001_POWER,WTG002_POWER,WTG003_POWER,WTG004_POWER,WTG005_POWER,WTG006_POWER,WTG007_POWER,WTG008_POWER,WTG009_POWER,WTG010_POWER,WTG011_POWER,WTG012_POWER,WTG013_POWER,WTG014_POWER,WTG015_POWER,WTG016_POWER,WTG017_POWER,WTG018_POWER,WTG019_POWER,WTG020_POWER,POWER_TOTAL
2026-04-08 00:00:00,324.9,192.4,241.1,243.5,262.2,283.0,187.9,207.2,251.0,268.6,287.7,254.3,245.8,307.1,284.0,281.7,282.4,306.0,286.6,360.7,5358.1
2026-04-08 01:00:00,237.3,140.2,142.1,155.5,138.6,199.3,149.6,154.5,153.3,178.6,215.2,169.0,147.8,199.8,196.0,176.6,175.7,193.5,161.7,272.2,3556.5
2026-04-08 02:00:00,137.0,101.5,89.7,83.8,95.0,116.2,98.6,95.8,81.2,109.2,98.8,98.4,70.5,121.5,121.2,84.2,104.7,123.3,94.4,146.1,2071.1
2026-04-08 03:00:00,89.6,88.2,77.5,50.7,63.2,80.6,87.5,79.8,51.9,77.9,94.1,68.6,30.1,75.1,69.1,62.2,83.2,81.6,73.3,81.8,1466.0
2026-04-08 04:00:00,35.4,60.6,39.3,39.2,29.8,48.8,68.1,66.4,17.0,35.2,61.3,32.7,17.5,29.1,35.9,48.1,43.0,49.0,38.7,46.7,841.8
2026-04-08 05:00:00,10.3,49.5,28.5,24.6,22.5,45.0,60.0,65.6,17.3,23.7,36.4,16.7,15.8,16.6,15.5,28.8,14.5,34.9,25.8,13.6,565.6
2026-04-08 06:00:00,1.9,37.9,13.5,23.7,11.0,22.5,45.8,49.3,17.9,23.4,15.3,14.7,16.1,14.7,18.4,15.6,18.1,13.9,18.3,0.0,392.0
2026-04-08 07:00:00,4.4,35.5,12.2,18.3,2.6,21.2,40.2,38.3,19.3,21.5,8.0,15.8,16.8,19.3,20.0,0.0,17.6,15.8,27.2,13.4,367.4
2026-04-08 08:00:00,8.9,35.3,10.8,24.1,0.0,25.1,39.9,37.0,18.3,25.1,11.8,22.2,15.9,20.4,20.3,0.0,17.1,20.2,0.0,24.0,376.4
2026-04-08 09:00:00,8.7,34.2,11.3,24.6,0.0,22.5,38.9,34.5,21.7,25.0,23.0,16.0,16.3,18.8,18.2,0.1,22.1,20.3,4.3,16.3,376.8
2026-04-08 10:00:00,9.8,36.0,11.1,23.6,0.0,21.3,41.2,33.0,10.0,20.8,19.3,17.8,11.2,16.2,13.8,5.1,9.1,11.6,11.0,10.2,332.1
