SYSDATETIME,WTG001_POWER,WTG002_POWER,WTG003_POWER,WTG004_POWER,WTG005_POWER,WTG006_POWER,WTG007_POWER,WTG008_POWER,WTG009_POWER,WTG010_POWER,WTG011_POWER,WTG012_POWER,WTG013_POWER,WTG014_POWER,WTG015_POWER,WTG016_POWER,WTG017_POWER,WTG018_POWER,WTG019_POWER,WTG020_POWER,POWER_TOTAL
2026-04-15 00:00:00,9.4,32.6,6.4,7.8,0.9,24.2,38.3,35.0,2.2,7.3,13.7,6.8,9.1,8.7,0.0,0.0,0.0,0.0,19.8,0.0,222.2
2026-04-15 01:00:00,8.2,31.4,3.8,5.5,0.2,10.4,36.3,34.6,2.4,0.0,14.9,2.4,5.6,2.9,0.0,0.0,0.0,0.0,6.3,0.0,164.9
2026-04-15 02:00:00,6.6,28.4,0.0,0.0,1.7,13.0,37.5,35.3,0.0,0.0,19.1,2.3,3.6,0.0,0.0,0.0,0.0,0.0,6.8,0.0,154.3
2026-04-15 03:00:00,3.2,29.8,0.0,4.2,1.5,13.0,38.6,34.7,0.0,11.1,18.2,0.0,5.2,2.3,0.0,0.0,0.0,0.0,11.0,0.0,172.8
2026-04-15 04:00:00,2.2,32.2,0.0,3.4,0.0,13.4,40.0,34.0,0.0,14.0,19.4,0.9,6.0,0.1,0.0,0.0,0.0,0.0,8.4,0.0,174.0
2026-04-15 05:00:00,4.2,32.4,6.5,8.0,5.0,14.9,38.0,34.2,0.0,13.9,18.1,3.3,5.3,3.1,0.0,0.0,0.0,0.0,8.2,0.0,195.1
2026-04-15 06:00:00,5.6,30.7,6.7,9.2,8.2,16.0,37.7,36.3,2.9,12.7,15.9,2.8,13.8,6.1,4.5,0.0,5.9,2.5,16.1,0.0,233.6
2026-04-15 07:00:00,7.4,33.5,12.4,11.9,27.8,17.3,35.8,35.4,2.0,16.3,9.7,0.0,14.1,9.5,6.8,0.0,3.3,1.6,15.5,1.9,262.2
2026-04-15 08:00:00,7.4,33.0,13.8,15.7,26.7,17.0,38.9,35.0,5.9,21.3,17.8,7.4,13.9,13.3,10.8,0.0,4.0,14.6,18.2,7.7,322.4
2026-04-15 09:00:00,6.6,32.8,14.8,14.5,13.0,17.1,36.6,35.7,3.6,18.3,17.4,8.3,11.7,10.3,10.2,0.0,3.6,15.8,19.8,5.8,295.9
2026-04-15 10:00:00,10.2,32.7,8.5,13.1,29.5,14.9,35.7,35.2,4.0,20.4,14.8,7.2,9.9,10.7,5.4,0.0,5.9,5.1,18.2,1.2,282.6
2026-04-15 11:00:00,10.4,32.5,6.7,10.1,23.6,12.6,39.2,35.4,2.6,19.3,13.7,6.4,9.3,10.3,1.0,0.0,4.2,7.0,12.8,0.0,257.1
2026-04-15 12:00:00,144.3,99.9,101.5,86.2,139.0,117.2,109.8,106.0,101.6,141.0,104.2,122.6,115.2,135.0,144.2,112.9,129.3,198.2,180.2,174.6,2562.9
2026-04-15 13:00:00,156.6,113.2,133.6,142.1,185.8,149.7,112.0,120.1,142.0,180.4,139.8,162.0,166.0,183.3,195.8,177.7,171.5,221.6,219.9,249.6,3322.7
2026-04-15 14:00:00,175.1,108.9,156.6,156.4,216.7,177.4,130.8,128.4,176.1,224.2,174.9,195.4,182.8,240.7,217.7,222.2,206.4,239.3,243.3,276.7,3850.0
2026-04-15 15:00:00,269.6,160.0,250.4,223.0,282.4,251.8,167.1,174.2,260.5,299.2,240.9,263.1,270.5,413.8,308.3,297.4,292.8,349.6,342.1,374.5,5491.2
2026-04-15 16:00:00,382.0,200.4,338.3,323.5,359.5,366.1,214.5,215.9,331.3,364.2,329.2,362.9,348.4,452.7,384.4,435.1,390.0,457.0,443.6,492.6,7191.6
2026-04-15 17:00:00,618.3,287.5,509.1,422.8,487.6,567.3,304.3,281.7,466.0,466.6,524.4,480.0,427.9,506.7,474.7,581.9,537.9,693.8,589.2,653.7,9881.4
2026-04-15 18:00:00,745.1,342.0,586.1,504.0,578.6,658.8,341.0,322.9,555.8,557.4,651.1,543.1,519.3,574.0,591.9,660.8,600.5,730.7,692.5,797.4,11553.0
2026-04-15 19:00:00,797.3,325.1,619.9,488.7,581.1,674.2,346.3,287.9,526.6,546.5,735.5,529.6,510.6,553.4,551.4,678.2,590.1,644.9,721.4,691.4,11400.1
2026-04-15 20:00:00,635.3,272.4,505.3,435.6,465.5,565.9,270.8,229.0,400.8,410.9,629.9,450.3,439.4,454.8,424.5,574.4,472.2,461.3,500.3,525.6,9124.2
2026-04-15 21:00:00,355.5,183.7,277.7,265.8,293.1,325.1,199.4,195.8,243.1,260.5,359.3,265.2,238.5,280.4,270.7,361.9,284.7,296.8,325.7,323.2,5606.1
2026-04-15 22:00:00,267.9,161.5,219.7,226.6,250.9,252.9,182.4,175.1,207.7,212.2,265.2,212.0,194.6,216.4,216.7,291.0,235.5,222.4,242.4,264.4,4517.5
2026-04-15 23:00:00,246.7,149.3,228.2,232.1,256.4,231.3,168.4,171.3,191.7,195.0,269.2,206.6,203.4,230.1,216.7,280.5,241.9,216.5,232.6,234.3,4402.2
2026-04-16 00:00:00,173.0,92.5,154.7,152.0,163.5,162.9,113.5,113.3,113.3,118.6,201.1,127.3,128.3,143.9,152.3,203.1,158.8,150.0,156.4,163.9,2942.4
2026-04-16 01:00:00,47.0,33.7,53.0,22.4,54.8,54.9,60.0,68.1,21.9,47.0,78.6,40.0,26.8,53.7,48.8,110.4,66.5,77.5,62.3,64.3,1091.7
2026-04-16 02:00:00,103.1,82.4,156.5,136.8,135.3,108.3,100.5,96.9,110.3,130.4,132.3,121.2,115.6,111.2,100.7,144.9,94.0,54.5,122.8,139.9,2297.6
2026-04-16 03:00:00,270.9,158.2,315.9,313.7,358.5,243.2,169.6,165.4,249.5,344.1,258.2,259.3,248.0,227.9,273.2,294.7,217.9,266.2,296.5,331.4,5262.3
2026-04-16 04:00:00,216.0,150.0,202.6,240.5,280.5,192.2,147.4,158.3,212.8,268.9,226.3,197.9,205.8,192.9,209.4,227.1,148.8,215.7,217.9,245.5,4156.5
2026-04-16 05:00:00,22.8,37.5,66.4,19.4,15.3,35.5,43.3,53.7,7.0,22.2,22.7,14.6,31.9,32.8,0.0,15.5,0.0,12.5,21.4,38.5,513.0
2026-04-16 06:00:00,10.3,34.0,3.4,6.5,4.2,26.9,37.0,37.1,5.0,6.1,9.0,12.0,12.0,7.6,0.0,0.0,6.1,8.9,23.8,0.8,250.7
2026-04-16 07:00:00,12.1,33.4,7.2,6.1,8.1,25.0,39.0,37.8,4.1,15.2,11.6,10.4,9.7,9.7,0.0,0.0,20.5,13.7,24.4,8.3,296.3
2026-04-16 08:00:00,4.9,31.0,0.0,9.6,10.5,11.0,37.5,37.3,5.7,10.5,9.2,7.8,9.6,9.9,0.0,0.0,1.9,9.0,21.6,3.2,230.2
2026-04-16 09:00:00,1.8,30.9,1.8,0.0,9.8,12.8,36.2,36.1,3.8,14.3,9.7,7.7,4.2,12.1,3.9,0.0,0.8,5.6,16.5,0.5,208.5
2026-04-16 10:00:00,4.8,32.8,7.3,15.5,24.5,11.0,38.9,36.5,5.4,19.2,12.5,3.5,8.5,8.7,5.5,0.0,3.3,7.0,16.8,8.1,269.8
2026-04-16 11:00:00,5.8,32.2,6.6,15.8,23.9,10.0,35.7,34.3,3.5,15.2,5.3,3.5,9.0,7.7,0.0,0.0,2.0,0.9,14.6,0.1,226.1
2026-04-16 12:00:00,6.0,32.2,4.6,7.9,10.6,11.0,38.5,41.1,6.1,13.7,13.5,0.0,7.1,2.2,0.0,16.6,0.0,10.6,6.7,0.0,228.4
2026-04-16 13:00:00,106.2,92.0,87.1,99.5,108.7,133.6,98.3,104.8,100.5,115.4,118.8,127.1,92.4,110.0,121.7,149.8,139.3,162.0,169.6,153.8,2390.6
2026-04-16 14:00:00,333.5,197.7,304.6,288.3,315.5,324.0,211.6,210.6,321.3,359.2,328.8,326.7,322.9,343.7,354.7,378.2,369.7,401.1,416.5,439.3,6547.9
2026-04-16 15:00:00,443.7,262.9,440.3,388.8,425.7,456.1,293.6,281.1,449.1,463.4,471.1,443.1,408.1,464.6,454.6,536.4,536.8,505.8,591.0,586.2,8902.4
2026-04-16 16:00:00,348.9,216.2,301.9,274.6,331.3,337.3,217.0,224.1,312.4,316.7,319.6,318.4,305.5,349.3,324.1,366.3,331.9,397.3,400.9,388.6,6382.3
2026-04-16 17:00:00,140.5,91.5,120.1,109.6,140.6,142.3,108.8,104.7,115.0,136.2,161.0,138.2,119.8,149.4,139.2,181.9,143.7,196.1,188.6,192.5,2819.7
2026-04-16 18:00:00,15.0,35.3,0.0,0.0,8.6,13.7,46.1,46.5,2.6,13.9,18.8,6.8,8.5,8.6,13.4,63.8,11.8,45.5,37.7,39.6,436.2
2026-04-16 19:00:00,6.2,38.9,0.4,0.8,17.3,12.4,40.2,42.3,5.2,18.6,7.3,5.7,7.8,7.2,0.5,5.9,0.9,0.0,10.3,0.0,227.9
2026-04-16 20:00:00,6.2,32.4,0.0,0.0,7.7,12.0,36.4,38.0,1.6,11.9,9.4,5.2,6.9,10.4,0.0,0.0,1.4,2.7,17.5,0.0,199.7
2026-04-16 21:00:00,4.6,32.3,2.2,5.8,7.9,11.7,34.0,34.2,0.0,12.2,9.7,5.2,6.9,7.8,0.0,0.0,1.1,2.2,16.6,0.0,194.4
2026-04-16 22:00:00,7.7,32.6,6.2,5.3,4.5,11.8,36.0,34.6,2.2,10.7,9.8,4.9,7.6,7.3,0.0,0.0,2.7,0.0,17.0,0.0,200.9
2026-04-16 23:00:00,7.4,30.6,2.5,2.0,0.0,9.0,35.6,34.3,0.0,5.6,6.3,0.0,10.6,6.0,0.0,0.0,0.0,0.7,7.1,0.0,157.7
2026-04-17 00:00:00,2.0,31.0,0.0,1.5,0.0,9.6,38.5,52.8,0.0,0.0,7.7,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.3
2026-04-17 01:00:00,2.0,30.8,0.0,0.0,0.0,10.6,37.1,37.8,0.0,0.0,8.4,0.0,2.4,0.0,0.0,0.0,0.0,2.4,0.0,19.0,150.5
2026-04-17 02:00:00,1.1,30.9,0.0,0.0,0.0,11.7,36.9,34.5,0.0,0.0,7.4,0.0,1.7,0.0,0.0,0.0,0.0,0.0,8.0,0.0,132.2
2026-04-17 03:00:00,3.6,32.7,4.9,0.9,8.6,16.2,39.7,38.6,21.1,0.0,14.3,6.0,7.8,17.1,0.0,17.6,0.0,20.5,26.6,30.8,307.0
2026-04-17 04:00:00,2.4,31.4,0.7,5.9,19.7,10.4,38.3,33.5,1.4,7.9,8.6,0.0,13.3,0.0,0.0,0.0,0.0,0.6,13.3,0.0,187.4
2026-04-17 05:00:00,0.8,31.5,2.0,7.4,22.1,17.2,39.0,41.7,2.0,8.6,24.9,0.1,13.9,3.9,1.4,41.3,0.0,2.8,13.7,7.7,282.0
2026-04-17 06:00:00,48.3,55.4,54.9,56.4,52.4,61.2,70.2,82.4,38.9,46.4,73.7,48.9,37.7,21.2,38.3,117.5,61.5,62.0,54.0,69.1,1150.4
2026-04-17 07:00:00,88.8,72.4,101.7,96.3,88.8,93.0,82.4,82.8,62.2,71.0,102.2,79.9,81.7,77.9,77.2,164.9,91.7,103.0,89.2,94.6,1801.7
2026-04-17 08:00:00,309.1,166.4,330.6,314.0,296.7,307.3,178.4,179.7,271.7,303.0,353.4,290.5,271.6,287.1,271.1,380.4,314.4,273.4,313.1,306.3,5718.2
2026-04-17 09:00:00,160.3,91.0,175.5,167.2,175.0,165.4,94.6,93.7,136.5,147.0,183.4,146.3,104.9,142.6,129.3,199.2,150.8,144.2,121.5,147.6,2876.0
2026-04-17 10:00:00,13.6,42.1,37.2,22.0,26.0,18.6,49.8,49.3,11.8,30.6,29.1,13.3,14.6,43.6,20.0,47.9,20.3,26.5,19.4,41.8,577.5
2026-04-17 11:00:00,9.9,33.9,1.3,8.6,16.0,17.0,40.3,38.5,3.5,20.1,12.5,6.6,9.7,9.8,0.7,0.0,13.4,15.6,19.1,6.9,283.4
2026-04-17 12:00:00,11.0,33.9,0.0,7.8,12.8,24.1,41.6,38.4,4.1,23.2,17.3,6.9,7.1,10.0,0.3,0.0,16.5,14.0,18.4,5.4,292.8
2026-04-17 13:00:00,10.6,31.5,0.0,7.6,13.4,14.0,40.0,38.5,5.2,18.9,5.3,5.9,7.4,9.2,0.0,0.0,12.9,10.0,16.3,4.8,251.5
2026-04-17 14:00:00,11.2,43.1,34.7,5.7,26.0,10.5,42.6,49.8,13.8,18.8,22.3,13.8,12.9,12.6,14.2,19.2,13.2,25.9,17.1,10.9,418.3
2026-04-17 15:00:00,7.4,30.5,0.0,0.0,15.9,9.0,38.4,37.9,1.3,17.2,5.1,1.9,10.1,7.1,0.0,0.0,9.8,15.4,17.9,6.0,230.9
2026-04-17 16:00:00,23.5,44.8,0.0,0.0,8.3,14.9,46.1,53.1,2.8,17.7,29.7,1.8,11.9,7.1,0.1,95.9,9.8,15.4,18.4,35.2,436.5
2026-04-17 17:00:00,68.7,70.8,34.4,47.6,54.2,75.2,78.6,88.3,33.2,39.2,105.5,53.5,29.1,37.6,84.2,147.3,52.2,62.4,67.4,102.9,1332.3
2026-04-17 18:00:00,178.4,131.5,109.5,149.0,133.0,188.0,143.5,132.2,120.7,118.6,220.7,148.4,120.1,120.9,155.1,298.5,138.8,141.1,147.5,176.2,3071.7
2026-04-17 19:00:00,245.6,153.3,178.3,219.0,225.5,220.7,163.9,156.9,206.9,185.1,257.5,225.9,211.8,191.3,212.2,358.7,214.9,169.0,199.3,236.8,4232.6
2026-04-17 20:00:00,273.5,186.5,239.2,233.9,252.4,269.9,182.2,176.7,219.1,224.5,313.2,214.4,228.9,228.5,212.2,377.0,228.9,191.8,209.5,226.5,4688.8
2026-04-17 21:00:00,325.4,193.9,324.6,320.9,344.6,331.5,215.7,202.2,293.1,311.0,391.6,291.2,285.1,315.6,282.7,555.2,340.7,239.4,310.6,319.5,6194.5
2026-04-17 22:00:00,462.0,230.3,416.7,442.1,453.1,440.7,275.3,235.7,395.3,388.5,539.1,406.1,402.9,394.1,335.6,721.7,453.0,338.5,398.0,416.3,8145.0
2026-04-17 23:00:00,706.5,384.7,664.1,648.4,657.6,704.2,394.2,373.4,617.3,581.4,856.9,604.4,596.2,586.9,552.2,1041.8,652.7,506.4,640.9,718.2,12488.4
2026-04-18 00:00:00,939.7,453.8,860.5,813.1,802.6,945.2,492.1,457.2,778.7,771.9,1203.6,788.3,751.9,810.1,724.5,1398.2,910.0,796.2,878.8,995.8,16572.2
2026-04-18 01:00:00,1187.7,558.0,1051.9,1023.4,1027.7,1166.2,628.8,576.8,987.1,1001.7,1407.2,969.6,1024.2,1075.0,957.5,1611.7,1212.9,963.8,1099.3,1208.3,20738.8
2026-04-18 02:00:00,1310.7,611.7,1241.0,1180.3,1178.7,1293.5,712.3,641.2,1146.7,1152.5,1478.9,1128.7,1159.9,1181.9,1099.1,1710.2,1367.9,1091.4,1217.9,1331.3,23235.8
2026-04-18 03:00:00,1138.0,558.0,971.5,1020.8,1044.2,1126.1,595.2,582.2,957.1,980.0,1293.8,949.2,949.0,1045.9,930.6,1430.5,1083.5,844.5,1027.1,1214.1,19741.3
2026-04-18 04:00:00,1063.8,516.9,952.4,931.0,1012.3,1004.9,576.5,510.2,899.2,911.6,1207.9,872.1,907.6,978.0,927.5,1488.8,1118.4,889.0,1000.6,1082.2,18850.9
2026-04-18 05:00:00,1063.8,493.8,906.7,892.9,944.2,1004.9,546.5,481.3,860.1,878.4,1184.8,845.6,854.2,892.1,929.1,1548.5,1115.0,845.6,900.8,1082.3,18270.6
2026-04-18 06:00:00,931.9,433.9,817.3,776.9,815.5,870.5,483.5,414.8,772.3,754.0,1030.4,720.5,665.2,780.4,771.7,1385.3,892.0,786.4,835.9,933.1,15871.5
2026-04-18 07:00:00,735.8,372.0,660.1,680.5,690.3,713.1,375.5,342.1,655.8,636.3,835.5,619.2,562.8,669.0,606.4,1084.9,807.0,643.3,703.1,826.7,13219.4
2026-04-18 08:00:00,658.9,347.0,580.6,631.0,578.2,647.2,359.0,351.4,548.2,551.7,745.1,547.7,535.0,603.2,491.0,789.0,637.3,636.8,578.1,660.6,11477.0
2026-04-18 09:00:00,459.7,261.5,412.5,423.9,420.1,474.7,253.7,257.8,402.8,402.7,548.0,418.2,399.6,433.8,433.5,547.4,480.0,491.9,464.9,521.8,8508.5
2026-04-18 10:00:00,287.1,191.7,231.3,259.9,280.8,282.1,181.4,166.3,232.7,258.1,359.7,256.5,234.8,274.3,253.9,362.1,289.1,316.7,271.1,300.3,5289.9
2026-04-18 11:00:00,376.6,214.6,319.0,324.4,324.9,359.8,214.6,213.8,297.5,298.7,437.9,302.6,289.9,327.2,309.0,431.7,347.3,353.6,324.4,369.6,6437.1
