SYSDATETIME,WTG001_WS,WTG002_WS,WTG003_WS,WTG004_WS,WTG005_WS,WTG006_WS,WTG007_WS,WTG008_WS,WTG009_WS,WTG010_WS,WTG011_WS,WTG012_WS,WTG013_WS,WTG014_WS,WTG015_WS,WTG016_WS,WTG017_WS,WTG018_WS,WTG019_WS,WTG020_WS,WAVE_HEIGHT,TEMPERATURE
2026-04-08 00:00:00,4.915,3.943,4.527,4.438,4.402,4.73,3.983,3.958,4.507,4.416,4.777,4.635,4.503,4.717,4.824,4.901,4.8,4.929,4.818,4.944,0.166,6.6
2026-04-08 01:00:00,4.56,3.614,4.001,4.063,3.923,4.327,3.689,3.643,4.059,4.008,4.429,4.185,4.061,4.251,4.423,4.42,4.251,4.448,4.343,4.557,0.123,6.4
2026-04-08 02:00:00,4.05,3.343,3.772,3.744,3.662,3.908,3.349,3.185,3.78,3.68,3.943,3.843,3.685,3.89,4.03,3.93,3.887,4.096,3.965,4.12,0.071,6.1
2026-04-08 03:00:00,3.845,3.234,3.688,3.575,3.528,3.72,3.283,3.071,3.538,3.507,3.942,3.675,3.477,3.695,3.75,3.811,3.805,3.802,3.668,3.789,0.05,5.8
2026-04-08 04:00:00,3.531,3.0,3.484,3.466,3.324,3.537,3.103,2.957,3.301,3.292,3.718,3.448,3.345,3.42,3.514,3.709,3.582,3.619,3.437,3.584,0.049,5.5
2026-04-08 05:00:00,3.374,2.886,3.427,3.362,3.245,3.494,3.057,2.918,3.213,3.207,3.587,3.316,3.251,3.33,3.366,3.556,3.38,3.523,3.395,3.459,0.058,5.2
2026-04-08 06:00:00,3.209,2.704,3.285,3.309,3.134,3.309,2.862,2.771,3.12,3.171,3.443,3.261,3.095,3.173,3.138,3.453,3.263,3.296,3.176,3.127,0.073,5.1
2026-04-08 07:00:00,2.888,2.675,3.064,3.124,2.917,3.007,2.716,2.55,3.009,2.921,3.072,2.986,2.828,2.969,2.768,3.136,2.917,2.937,2.855,2.764,0.062,5.6
2026-04-08 08:00:00,2.77,2.52,2.912,2.858,2.624,2.693,2.552,2.347,2.815,2.699,2.788,2.706,2.724,2.805,2.774,2.836,2.671,2.766,2.692,2.656,0.039,6.5
2026-04-08 09:00:00,2.4,2.182,2.503,2.394,2.217,2.297,2.258,2.096,2.362,2.185,2.353,2.292,2.382,2.349,2.412,2.47,2.212,2.349,2.305,2.239,0.012,7.7
2026-04-08 10:00:00,2.106,1.932,2.111,2.098,1.989,2.013,1.938,1.814,2.061,1.929,2.095,1.991,2.093,2.052,2.087,2.188,1.888,2.011,1.977,1.889,0.003,8.8
2026-04-08 11:00:00,2.093,2.036,2.21,1.942,2.054,2.022,2.041,1.875,2.051,2.083,1.981,2.061,2.133,2.184,2.094,2.332,2.061,2.146,2.162,1.982,0.035,9.9
2026-04-08 12:00:00,2.312,2.157,2.296,2.179,2.277,2.197,2.172,1.992,2.379,2.365,2.154,2.213,2.358,2.318,2.529,2.471,2.336,2.484,2.449,2.366,0.118,10.8
2026-04-08 13:00:00,2.669,2.53,2.712,2.579,2.687,2.639,2.508,2.368,2.74,2.734,2.52,2.663,2.804,2.764,3.007,2.982,2.837,2.95,2.933,2.923,0.195,11.2
2026-04-08 14:00:00,2.968,2.683,2.967,2.829,3.016,2.979,2.632,2.592,2.967,3.028,2.859,2.904,3.04,2.985,3.152,3.263,3.092,3.427,3.18,3.292,0.254,11.5
2026-04-08 15:00:00,3.137,2.792,3.04,2.96,3.169,3.13,2.703,2.673,3.091,3.157,3.001,3.053,3.142,3.099,3.333,3.4,3.228,3.528,3.326,3.434,0.278,11.5
2026-04-08 16:00:00,3.095,2.816,3.208,3.053,3.096,3.245,2.727,2.748,3.25,3.224,3.134,3.175,3.267,3.212,3.44,3.508,3.409,3.453,3.434,3.475,0.203,11.6
2026-04-08 17:00:00,2.839,2.577,2.982,2.854,2.977,2.981,2.548,2.555,3.061,3.048,2.963,2.946,3.029,2.987,3.236,3.326,3.104,3.271,3.198,3.23,0.096,11.3
2026-04-08 18:00:00,2.973,2.575,3.063,2.87,2.945,2.884,2.553,2.443,2.984,3.027,2.887,2.909,2.99,3.044,3.127,3.246,2.905,3.102,3.044,3.127,0.046,10.8
2026-04-08 19:00:00,2.884,2.527,2.961,2.745,2.879,2.725,2.462,2.444,2.934,2.863,2.765,2.816,2.829,2.93,2.961,2.997,2.743,2.935,2.837,3.02,0.01,10.2
2026-04-08 20:00:00,3.307,2.7,3.39,3.203,3.232,3.026,2.627,2.622,3.117,3.182,3.179,3.104,3.14,3.24,3.185,3.208,2.942,3.129,3.091,3.339,0.002,10.0
2026-04-08 21:00:00,3.849,3.032,3.894,3.725,3.799,3.607,3.082,2.955,3.698,3.754,3.755,3.677,3.685,3.696,3.849,3.86,3.637,3.805,3.638,3.962,0.021,10.1
2026-04-08 22:00:00,4.742,3.764,4.802,4.593,4.638,4.494,3.713,3.54,4.415,4.588,4.63,4.511,4.398,4.353,4.857,4.643,4.513,4.593,4.463,4.844,0.065,10.0
2026-04-08 23:00:00,5.582,4.58,5.854,5.646,5.623,5.186,4.455,4.335,5.342,5.669,5.539,5.372,5.32,5.228,5.718,5.565,5.351,5.425,5.388,5.818,0.136,10.1
2026-04-09 00:00:00,6.677,5.285,6.881,6.62,6.453,6.253,5.235,5.042,6.362,6.581,6.521,6.334,6.162,6.015,6.873,6.477,6.154,6.505,6.368,7.029,0.22,10.1
2026-04-09 01:00:00,7.084,5.555,7.45,7.036,6.64,6.702,5.465,5.217,6.741,6.843,6.764,6.696,6.537,6.333,6.842,6.917,6.43,6.59,6.498,7.299,0.317,10.3
2026-04-09 02:00:00,7.514,6.044,8.106,7.61,7.161,7.317,5.983,5.705,7.362,7.329,7.434,7.308,7.098,6.858,7.438,7.557,7.044,7.34,6.994,7.729,0.4,10.5
2026-04-09 03:00:00,7.991,6.488,8.816,8.089,7.719,7.835,6.5,6.264,7.924,7.817,7.922,7.879,7.826,7.466,8.06,8.181,7.659,7.73,7.601,8.492,0.484,10.6
2026-04-09 04:00:00,8.227,6.662,9.016,8.539,8.206,8.054,6.583,6.343,8.116,8.137,8.133,7.994,7.875,7.627,8.549,8.4,7.832,7.889,7.74,8.827,0.552,10.4
