SYSDATETIME,WTG001_WS,WTG002_WS,WTG003_WS,WTG004_WS,WTG005_WS,WTG006_WS,WTG007_WS,WTG008_WS,WTG009_WS,WTG010_WS,WTG011_WS,WTG012_WS,WTG013_WS,WTG014_WS,WTG015_WS,WTG016_WS,WTG017_WS,WTG018_WS,WTG019_WS,WTG020_WS,WTG001_POWER,WTG002_POWER,WTG003_POWER,WTG004_POWER,WTG005_POWER,WTG006_POWER,WTG007_POWER,WTG008_POWER,WTG009_POWER,WTG010_POWER,WTG011_POWER,WTG012_POWER,WTG013_POWER,WTG014_POWER,WTG015_POWER,WTG016_POWER,WTG017_POWER,WTG018_POWER,WTG019_POWER,WTG020_POWER,POWER_TOTAL,WAVE_HEIGHT,TEMPERATURE
2026-05-15 00:00:00,2.809,2.519,2.578,2.704,2.503,2.856,2.414,2.282,2.737,2.5,3.025,2.741,2.72,2.699,2.738,3.005,2.906,2.962,2.769,2.829,0.0,60.9,0.0,9.9,9.3,10.4,52.5,51.9,0.0,13.5,5.2,0.1,5.0,3.6,0.0,0.0,10.9,3.5,20.0,8.8,265.5,0.039,16.3
2026-05-15 01:00:00,3.245,2.736,2.923,3.058,2.943,3.27,2.684,2.529,3.077,2.837,3.519,3.179,3.097,3.083,3.075,3.457,3.191,3.308,3.17,3.287,0.0,87.1,0.0,5.9,10.6,7.4,83.0,81.6,0.0,10.5,24.3,0.0,5.1,0.0,0.0,12.5,12.6,2.2,16.3,8.0,367.1,0.065,16.0
2026-05-15 02:00:00,3.737,3.055,3.343,3.505,3.329,3.861,3.101,2.909,3.546,3.202,4.135,3.56,3.534,3.46,3.643,3.99,3.708,3.762,3.579,3.648,56.1,140.0,0.0,23.4,21.9,86.0,150.7,142.5,26.8,9.1,123.5,36.0,28.6,26.8,38.9,88.7,66.6,70.7,45.9,54.1,1236.3,0.107,15.7
2026-05-15 03:00:00,4.296,3.494,3.783,3.974,3.781,4.315,3.581,3.387,4.0,3.635,4.775,4.136,3.991,3.898,4.222,4.66,4.319,4.177,4.075,4.147,161.1,228.8,46.4,101.0,99.2,170.9,243.8,233.4,110.4,81.8,238.7,140.7,118.5,102.9,121.2,148.1,165.5,128.8,137.3,132.4,2910.9,0.145,15.5
2026-05-15 04:00:00,4.31,3.495,3.764,4.003,3.837,4.301,3.534,3.752,4.022,3.658,4.978,4.183,3.993,3.905,4.261,4.96,4.334,4.153,4.082,4.459,156.0,229.1,40.9,113.1,115.3,164.6,230.8,330.0,110.9,80.4,291.4,153.3,114.8,106.8,131.7,204.2,162.9,122.6,137.3,201.4,3197.5,0.166,15.4
2026-05-15 05:00:00,4.054,3.402,3.501,3.736,3.661,4.065,3.385,3.674,3.807,3.569,4.645,3.948,3.718,3.695,4.077,4.789,4.182,3.866,3.857,4.276,106.4,208.1,5.4,56.7,78.9,119.8,200.9,304.2,70.6,64.0,215.2,110.7,50.7,60.0,106.5,170.4,138.8,80.3,97.0,159.1,2403.7,0.166,15.3
2026-05-15 06:00:00,3.981,3.285,3.42,3.576,3.466,3.871,3.259,3.537,3.566,3.302,4.237,3.701,3.517,3.459,3.713,4.609,3.943,3.584,3.633,4.033,94.5,187.8,0.0,28.9,36.0,84.8,172.9,270.1,15.3,23.7,143.3,63.2,19.4,21.2,43.0,132.9,95.8,41.0,58.3,124.5,1656.6,0.134,15.4
2026-05-15 07:00:00,3.571,3.1,3.507,3.374,3.231,3.531,2.977,2.912,3.263,3.119,3.737,3.406,3.249,3.248,3.228,3.681,3.527,3.362,3.264,3.246,35.8,144.5,1.6,0.0,5.7,30.8,126.5,144.6,0.0,8.2,60.8,7.9,0.6,0.0,0.0,38.2,33.1,3.3,15.5,8.2,665.3,0.096,16.2
2026-05-15 08:00:00,3.141,2.668,3.053,3.042,2.854,3.022,2.531,2.472,2.933,2.733,3.262,3.014,3.02,2.96,2.983,3.282,3.085,3.014,2.983,2.879,0.0,74.9,0.0,0.0,0.0,7.5,61.5,73.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,230.9,0.051,17.3
2026-05-15 09:00:00,2.437,2.263,2.586,2.552,2.385,2.521,2.26,2.22,2.455,2.404,2.724,2.596,2.567,2.502,2.48,2.73,2.61,2.58,2.58,2.509,0.0,29.6,0.0,0.0,0.0,5.9,35.8,41.4,0.3,7.1,0.0,0.0,3.9,1.8,0.0,0.0,1.3,0.0,5.4,0.0,132.5,0.017,18.4
2026-05-15 10:00:00,2.312,2.202,2.354,2.226,2.15,2.317,2.114,2.221,2.188,2.358,2.509,2.299,2.413,2.302,2.398,2.517,2.377,2.396,2.375,2.549,0.0,32.8,3.5,16.3,21.7,0.8,35.2,40.6,1.7,7.8,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,5.3,0.0,169.1,0.035,19.3
2026-05-15 11:00:00,2.892,2.558,2.891,2.799,2.654,2.884,2.493,2.527,2.73,2.867,2.9,2.855,2.982,2.846,2.879,3.068,3.005,3.049,3.044,3.31,0.0,66.2,0.0,7.7,14.0,4.4,57.9,72.3,0.0,6.6,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,1.4,0.0,234.3,0.212,20.0
2026-05-15 12:00:00,3.492,3.005,3.208,3.35,3.178,3.405,2.874,2.786,3.238,3.378,3.5,3.36,3.473,3.318,3.459,3.592,3.534,3.624,3.57,3.818,21.0,128.4,0.0,0.0,0.0,8.0,109.9,111.0,0.0,36.2,5.6,0.0,8.4,0.0,0.0,11.7,19.3,18.7,33.4,56.5,568.1,0.478,20.6
2026-05-15 13:00:00,4.541,3.815,4.166,4.187,4.078,4.447,3.669,3.528,4.157,4.298,4.486,4.276,4.405,4.279,4.45,4.588,4.573,4.664,4.623,4.771,200.9,279.0,128.4,142.4,163.9,181.6,251.1,250.5,133.8,184.7,163.7,137.5,176.3,155.2,149.2,167.6,190.8,194.6,215.6,235.3,3702.1,0.533,20.5
2026-05-15 14:00:00,4.988,4.006,4.815,4.791,4.598,4.979,4.034,3.847,4.739,4.695,4.994,4.817,4.848,4.894,5.146,5.213,5.132,5.083,5.245,5.135,305.6,340.6,259.3,272.8,259.4,287.9,339.1,325.5,251.6,271.1,268.6,242.0,266.5,296.3,281.1,294.0,303.7,276.0,366.5,300.5,5808.1,0.448,20.2
2026-05-15 15:00:00,5.131,4.188,4.882,4.896,4.746,5.116,4.13,3.946,4.843,4.77,5.146,4.972,4.926,4.949,5.223,5.325,5.227,5.289,5.318,5.229,333.9,380.7,258.4,307.9,300.5,311.5,365.1,354.1,283.0,290.4,292.0,267.0,294.6,306.8,310.6,331.2,321.4,329.6,383.6,329.3,6351.6,0.363,20.0
2026-05-15 16:00:00,4.977,4.015,4.731,4.777,4.619,5.025,3.965,3.803,4.653,4.676,4.969,4.791,4.777,4.794,5.071,5.196,5.058,5.118,5.177,5.093,301.8,340.8,242.5,263.5,273.2,287.5,327.2,318.4,245.1,266.9,254.6,241.1,262.7,278.5,262.0,293.9,287.7,286.9,344.0,293.7,5672.0,0.317,19.8
2026-05-15 17:00:00,4.812,3.868,4.413,4.445,4.365,4.723,3.87,3.634,4.361,4.36,4.805,4.571,4.539,4.553,4.744,4.976,4.749,4.898,4.889,4.771,250.8,291.3,172.4,187.0,205.1,236.7,296.8,277.1,173.2,208.9,219.3,195.3,204.9,217.2,203.5,238.8,216.7,232.0,270.6,232.2,4529.8,0.231,19.5
2026-05-15 18:00:00,4.351,3.422,3.866,3.943,3.873,4.261,3.449,3.227,3.875,3.845,4.288,4.009,3.989,4.029,4.192,4.43,4.194,4.343,4.342,4.242,165.4,200.5,77.5,97.1,112.9,146.9,209.1,190.1,89.2,109.5,124.8,101.6,112.7,108.0,108.5,149.6,125.1,134.1,165.5,124.2,2652.3,0.161,19.0
2026-05-15 19:00:00,3.641,3.015,3.366,3.369,3.276,3.639,3.052,2.852,3.351,3.253,3.703,3.437,3.466,3.546,3.638,3.704,3.552,3.838,3.784,3.721,43.3,131.8,0.0,0.0,11.4,48.3,137.5,120.9,7.3,16.7,31.4,11.1,25.6,32.5,27.5,28.0,18.9,56.3,77.6,41.8,867.9,0.072,18.1
2026-05-15 20:00:00,3.261,2.605,2.817,2.983,2.805,3.229,2.604,2.511,2.872,2.697,3.275,2.959,2.965,3.061,3.028,3.31,3.047,3.131,3.309,3.152,0.0,73.0,0.0,0.0,2.6,6.3,70.7,75.5,0.0,5.2,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,257.2,0.025,17.3
2026-05-15 21:00:00,3.071,2.569,2.866,2.945,2.773,2.954,2.565,2.42,2.775,2.571,3.124,2.899,2.798,2.893,2.891,3.22,3.069,3.033,3.169,2.9,0.0,66.7,0.0,2.2,2.3,5.2,66.4,65.0,0.6,5.5,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,9.5,0.0,227.5,0.007,16.9
2026-05-15 22:00:00,2.848,2.497,2.687,2.612,2.494,2.722,2.486,2.388,2.582,2.475,2.892,2.673,2.563,2.664,2.679,2.892,2.79,2.836,2.903,2.655,0.0,52.9,0.0,0.0,0.0,4.2,54.2,59.2,2.1,2.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,187.2,0.007,16.6
2026-05-15 23:00:00,2.625,2.298,2.649,2.588,2.599,2.573,2.282,2.181,2.481,2.477,2.72,2.487,2.488,2.469,2.623,2.791,2.57,2.519,2.661,2.642,0.0,30.2,0.0,0.0,0.0,4.2,35.0,39.6,0.0,4.6,2.1,0.0,0.4,0.0,0.0,0.0,7.3,0.0,12.0,0.3,135.7,0.015,16.5
2026-05-16 00:00:00,2.443,2.056,2.362,2.365,2.336,2.324,2.038,2.0,2.234,2.241,2.443,2.267,2.273,2.346,2.312,2.489,2.265,2.279,2.42,2.405,0.0,30.2,0.0,0.0,0.0,5.5,33.8,35.2,0.0,4.2,5.7,0.0,1.1,0.0,0.0,0.0,5.6,0.0,12.8,3.6,137.7,0.024,16.4
2026-05-16 01:00:00,2.37,2.011,2.281,2.245,2.22,2.229,2.001,1.934,2.155,2.12,2.36,2.172,2.225,2.251,2.217,2.37,2.168,2.195,2.336,2.297,0.0,32.5,0.0,0.0,0.0,6.6,35.5,35.1,0.0,1.8,5.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,10.3,0.8,128.4,0.023,16.2
2026-05-16 02:00:00,2.274,2.021,2.222,2.19,2.15,2.167,2.007,1.96,2.11,2.04,2.275,2.137,2.161,2.189,2.179,2.31,2.134,2.164,2.314,2.281,2.6,32.6,0.0,2.1,10.2,9.5,36.3,35.0,0.2,5.7,0.8,0.0,0.1,0.2,0.0,0.0,1.1,0.0,14.3,0.0,150.7,0.02,16.1
2026-05-16 03:00:00,2.344,2.143,2.227,2.345,2.15,2.336,2.112,1.982,2.261,2.151,2.381,2.173,2.268,2.232,2.273,2.627,2.28,2.3,2.389,2.37,0.0,32.2,0.0,1.7,10.2,8.2,35.4,35.2,0.0,5.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,13.4,0.0,142.3,0.012,15.9
2026-05-16 04:00:00,2.391,2.087,2.175,2.273,2.097,2.413,2.106,1.955,2.206,2.029,2.548,2.18,2.158,2.202,2.296,2.748,2.383,2.345,2.39,2.469,0.0,32.2,0.0,4.4,12.6,7.0,34.8,34.0,0.0,6.8,0.0,3.9,1.3,3.8,0.0,0.0,0.0,0.0,15.0,0.0,155.8,0.002,15.7
2026-05-16 05:00:00,2.748,2.369,2.33,2.444,2.339,2.793,2.388,2.278,2.503,2.326,2.94,2.551,2.336,2.419,2.526,2.779,2.655,2.662,2.674,2.728,0.0,44.6,0.0,8.0,20.8,8.5,46.8,47.1,0.0,10.1,1.0,4.0,3.9,4.0,2.8,0.0,0.0,0.0,18.4,5.1,225.1,0.002,15.6
2026-05-16 06:00:00,2.86,2.491,2.578,2.649,2.467,3.012,2.52,2.458,2.557,2.454,3.239,2.784,2.477,2.574,2.545,3.038,2.868,2.788,2.67,2.688,0.0,55.7,0.0,4.1,15.4,6.3,55.4,70.9,1.1,7.6,0.0,1.3,4.9,1.0,0.0,0.0,0.1,0.0,10.5,5.5,239.8,0.016,15.7
2026-05-16 07:00:00,3.026,2.603,2.687,2.807,2.675,3.159,2.62,2.565,2.746,2.623,3.39,2.957,2.613,2.889,2.767,3.054,2.95,2.902,2.833,2.914,2.2,71.6,0.0,5.4,17.4,9.8,70.3,86.2,1.5,12.6,6.8,0.0,5.4,1.1,0.0,0.0,2.7,0.0,12.3,1.3,306.6,0.023,16.6
2026-05-16 08:00:00,2.995,2.561,2.786,2.802,2.675,3.017,2.512,2.51,2.706,2.658,3.318,2.851,2.666,2.877,2.796,3.047,2.877,2.857,2.818,2.933,3.3,65.1,0.0,6.7,16.9,3.3,56.4,76.2,0.5,6.8,0.6,0.0,5.1,0.4,0.0,0.0,0.0,0.0,8.1,0.0,249.4,0.028,17.7
2026-05-16 09:00:00,2.704,2.416,2.602,2.554,2.506,2.788,2.387,2.384,2.555,2.496,3.072,2.693,2.528,2.707,2.626,2.846,2.683,2.684,2.671,2.699,0.0,44.2,0.0,5.5,3.5,2.9,41.7,57.5,1.1,8.1,0.0,0.0,5.9,1.2,0.0,0.0,0.0,0.0,5.3,0.0,176.9,0.044,18.6
2026-05-16 10:00:00,3.002,2.662,2.922,2.87,2.722,3.022,2.65,2.611,2.85,2.748,3.189,2.919,2.848,2.801,2.877,3.212,2.933,2.989,2.917,2.88,0.0,79.2,0.0,8.9,11.4,1.6,75.8,87.0,2.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,279.3,0.097,19.3
2026-05-16 11:00:00,3.596,2.998,3.423,3.434,3.213,3.594,2.946,2.841,3.295,3.217,3.68,3.456,3.37,3.362,3.394,3.682,3.638,3.615,3.505,3.578,35.2,129.3,15.3,20.3,17.6,10.8,119.4,119.4,0.8,11.5,29.7,11.7,0.0,4.8,4.1,23.1,35.4,19.0,22.8,25.1,655.3,0.188,20.0
2026-05-16 12:00:00,4.081,3.284,3.766,3.793,3.601,4.026,3.203,3.089,3.715,3.804,3.957,3.804,3.869,3.771,4.062,4.029,4.082,4.133,4.031,4.219,103.8,175.7,57.9,81.2,64.2,104.6,162.4,162.1,58.1,106.2,78.4,60.9,70.2,74.1,94.1,78.6,103.7,94.9,114.6,131.5,1977.2,0.293,20.4
2026-05-16 13:00:00,4.293,3.549,3.984,4.149,3.932,4.274,3.539,3.441,4.082,4.309,4.145,4.188,4.232,4.201,4.491,4.354,4.542,4.589,4.495,4.748,147.4,228.8,93.1,138.4,127.1,148.1,222.3,234.0,121.4,196.5,100.7,128.6,149.4,144.1,164.6,129.8,178.5,177.4,194.6,239.9,3264.7,0.358,20.5
2026-05-16 14:00:00,4.657,3.865,4.496,4.573,4.482,4.689,3.905,3.771,4.55,4.757,4.605,4.605,4.764,4.754,5.067,4.89,5.089,5.145,5.058,5.366,231.0,290.8,187.3,218.4,230.9,238.7,310.5,312.6,216.4,291.2,187.8,203.5,255.5,253.4,262.6,223.8,290.7,304.3,317.6,364.4,5191.4,0.41,20.5
2026-05-16 15:00:00,5.211,4.117,4.981,4.946,4.807,5.225,4.215,3.996,5.004,4.914,5.076,5.023,5.083,5.142,5.435,5.403,5.512,5.625,5.527,5.563,346.0,362.2,292.3,314.0,312.7,347.3,388.0,360.1,323.0,330.7,283.0,282.6,324.1,358.5,367.6,338.9,395.3,436.7,454.7,430.0,7047.7,0.395,20.3
2026-05-16 16:00:00,5.526,4.162,5.29,5.245,5.132,5.632,4.414,4.105,5.333,5.192,5.494,5.362,5.212,5.431,5.661,5.794,5.901,5.812,5.731,5.873,426.5,372.8,382.4,385.6,396.7,440.7,454.5,400.8,403.6,421.4,388.4,371.8,353.9,435.2,421.5,441.9,513.5,471.2,509.8,517.2,8509.4,0.328,19.8
2026-05-16 17:00:00,5.46,4.187,5.238,5.195,5.072,5.514,4.403,4.049,5.269,5.14,5.554,5.344,5.204,5.377,5.62,5.773,5.83,5.771,5.7,5.821,410.1,387.4,372.2,367.7,386.7,429.7,459.3,396.8,387.0,390.4,392.7,367.4,359.0,423.3,403.8,431.1,470.7,468.6,486.5,494.8,8285.2,0.239,19.3
2026-05-16 18:00:00,5.428,4.282,5.059,5.03,4.821,5.396,4.302,4.02,5.021,4.968,5.45,5.138,5.137,5.179,5.461,5.53,5.512,5.639,5.529,5.61,401.8,424.8,315.2,339.4,327.3,400.5,432.5,391.3,329.6,341.1,387.3,312.8,360.1,374.6,365.2,364.4,402.1,440.5,473.0,442.4,7625.9,0.155,18.6
2026-05-16 19:00:00,4.896,3.872,4.532,4.54,4.307,4.866,3.932,3.7,4.504,4.415,4.95,4.59,4.572,4.65,4.847,4.977,4.917,5.05,4.996,4.931,292.3,291.4,211.6,214.8,214.9,271.0,315.4,298.2,210.0,220.0,250.3,208.8,222.6,247.8,231.7,248.7,259.0,275.9,313.5,266.2,5064.1,0.1,17.7
2026-05-16 20:00:00,4.457,3.528,4.153,4.122,3.884,4.409,3.444,3.234,4.089,3.947,4.61,4.175,4.121,4.276,4.372,4.509,4.479,4.551,4.486,4.583,198.4,223.4,135.2,131.7,136.1,187.0,205.3,192.4,132.6,137.4,189.8,133.4,151.1,164.5,150.5,170.5,172.3,192.0,216.5,214.0,3434.1,0.062,16.9
2026-05-16 21:00:00,3.872,3.134,3.582,3.66,3.567,3.852,3.131,2.907,3.588,3.51,4.015,3.696,3.651,3.735,3.811,4.091,3.975,3.918,3.985,4.11,75.0,147.9,37.6,64.3,59.1,87.7,151.7,133.2,35.4,55.9,91.3,45.6,57.3,60.6,63.4,102.5,96.1,78.2,105.6,113.0,1661.4,0.039,16.5
2026-05-16 22:00:00,3.402,2.824,3.275,3.128,2.921,3.446,2.799,2.688,3.031,2.922,3.422,3.136,3.083,3.179,3.171,3.53,3.37,3.416,3.389,3.471,0.0,100.4,0.0,0.0,0.0,20.3,104.2,101.1,0.0,4.0,4.4,0.0,4.6,0.0,0.0,15.8,0.0,0.0,6.4,6.2,367.4,0.019,16.2
2026-05-16 23:00:00,3.062,2.705,2.979,2.942,2.771,3.139,2.614,2.521,2.845,2.743,3.274,2.912,2.885,2.879,2.95,3.315,3.177,3.108,3.048,3.166,0.0,85.8,0.0,0.0,6.0,4.6,71.7,75.8,0.0,4.1,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,5.6,0.0,257.7,0.004,16.0
2026-05-17 00:00:00,3.158,2.601,2.704,2.802,2.685,3.156,2.535,2.401,2.846,2.531,3.279,2.892,2.684,2.75,2.89,3.175,3.066,2.991,2.933,3.15,0.0,72.5,0.0,0.0,0.0,4.9,62.1,63.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,210.7,0.0,15.7
2026-05-17 01:00:00,2.857,2.446,2.712,2.712,2.629,2.873,2.409,2.317,2.649,2.517,3.116,2.791,2.606,2.686,2.737,3.074,2.87,2.941,2.815,3.072,0.0,49.0,0.0,0.0,0.0,4.9,45.9,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,152.7,0.0,15.5
2026-05-17 02:00:00,3.19,2.63,2.976,2.965,2.994,3.199,2.65,2.533,3.004,2.86,3.441,3.195,3.033,3.095,3.136,3.385,3.306,3.259,3.191,3.458,0.0,74.8,0.0,0.0,7.2,8.2,77.5,77.3,0.0,7.3,6.5,4.5,0.0,3.6,0.0,0.0,0.0,0.0,12.8,8.6,288.3,0.003,15.4
2026-05-17 03:00:00,2.971,2.68,2.902,2.802,2.736,3.025,2.637,2.513,2.782,2.642,3.364,2.98,2.952,2.905,2.967,3.239,3.172,3.143,2.947,3.138,0.0,78.7,0.0,0.0,2.1,5.1,74.7,77.3,0.0,2.6,7.6,0.0,1.7,3.8,0.0,0.0,0.0,0.0,10.2,1.6,265.4,0.005,15.4
2026-05-17 04:00:00,2.807,2.48,2.712,2.629,2.506,2.856,2.497,2.381,2.639,2.426,3.227,2.708,2.657,2.661,2.709,2.885,2.838,2.854,2.828,2.781,0.0,51.3,0.0,0.0,2.2,4.8,54.6,57.4,0.0,2.9,1.8,0.0,2.7,3.8,0.0,0.0,0.0,0.0,9.9,2.3,193.7,0.001,15.3
2026-05-17 05:00:00,2.929,2.558,2.685,2.823,2.667,2.943,2.604,2.463,2.81,2.605,3.303,2.85,2.782,2.881,2.898,3.162,3.03,3.016,2.981,3.049,0.0,67.4,0.0,6.8,14.0,8.1,71.9,70.3,0.0,10.1,0.0,5.7,3.2,3.6,0.0,0.0,0.1,0.0,10.9,0.1,272.2,0.005,15.3
