SYSDATETIME,WTG001_WS,WTG002_WS,WTG003_WS,WTG004_WS,WTG005_WS,WTG006_WS,WTG007_WS,WTG008_WS,WTG009_WS,WTG010_WS,WTG011_WS,WTG012_WS,WTG013_WS,WTG014_WS,WTG015_WS,WTG016_WS,WTG017_WS,WTG018_WS,WTG019_WS,WTG020_WS,WAVE_HEIGHT,TEMPERATURE
2026-05-19 00:00:00,3.692,3.04,3.784,3.743,3.879,3.579,3.009,2.779,3.549,3.733,3.629,3.631,3.522,3.563,3.918,3.642,3.62,3.794,3.714,3.858,0.065,17.8
2026-05-19 01:00:00,3.696,3.038,3.77,3.722,3.881,3.578,3.034,2.835,3.545,3.682,3.701,3.622,3.538,3.6,3.891,3.732,3.571,3.748,3.703,3.866,0.077,17.4
2026-05-19 02:00:00,4.006,3.346,3.918,4.044,4.118,3.944,3.306,3.072,3.818,3.893,4.017,3.893,3.8,3.906,4.135,4.149,4.098,3.914,4.05,4.23,0.079,17.3
2026-05-19 03:00:00,4.035,3.302,4.159,4.124,4.212,4.032,3.264,3.007,3.942,4.014,4.029,3.89,3.895,4.028,4.122,4.256,4.221,3.88,4.128,4.324,0.079,17.1
2026-05-19 04:00:00,4.314,3.501,4.414,4.381,4.475,4.337,3.386,3.128,4.205,4.258,4.265,4.238,4.176,4.272,4.558,4.488,4.408,4.111,4.396,4.592,0.073,16.9
2026-05-19 05:00:00,4.816,3.963,4.845,4.866,4.95,4.787,3.843,3.561,4.662,4.658,4.826,4.669,4.607,4.593,5.045,4.987,4.845,4.595,4.754,5.083,0.077,16.9
2026-05-19 06:00:00,5.221,4.304,5.282,5.232,5.243,5.068,4.186,3.902,4.999,5.093,5.114,4.989,4.92,4.946,5.393,5.337,5.151,4.91,5.071,5.537,0.086,17.3
2026-05-19 07:00:00,5.316,4.438,5.434,5.352,5.408,5.14,4.367,4.064,5.115,5.243,5.298,5.128,5.04,5.12,5.594,5.322,5.226,5.117,5.229,5.716,0.127,18.1
2026-05-19 08:00:00,5.47,4.492,5.597,5.505,5.59,5.298,4.361,4.152,5.207,5.533,5.336,5.192,5.124,5.245,5.843,5.426,5.252,5.252,5.393,5.816,0.212,19.0
2026-05-19 09:00:00,5.044,4.182,5.27,5.12,5.269,4.947,4.092,3.879,4.893,5.169,5.036,4.917,4.799,4.902,5.46,5.006,4.878,4.926,5.07,5.262,0.208,19.9
2026-05-19 10:00:00,4.463,3.588,4.685,4.453,4.628,4.293,3.531,3.402,4.41,4.562,4.372,4.304,4.358,4.407,4.899,4.305,4.306,4.4,4.474,4.625,0.086,20.6
2026-05-19 11:00:00,3.66,3.061,3.876,3.692,3.809,3.563,3.021,2.919,3.713,3.743,3.544,3.579,3.677,3.753,4.047,3.52,3.482,3.685,3.701,3.838,0.009,21.1
2026-05-19 12:00:00,2.993,2.675,3.232,3.077,3.095,2.839,2.683,2.66,3.08,3.334,2.829,2.931,3.202,3.281,3.342,2.939,2.998,3.099,3.07,3.377,0.006,21.6
2026-05-19 13:00:00,2.774,2.549,2.884,2.777,2.783,2.707,2.452,2.565,2.77,3.039,2.591,2.679,2.826,2.746,3.013,2.837,2.835,2.904,2.858,3.074,0.067,22.2
2026-05-19 14:00:00,3.53,3.214,3.66,3.531,3.617,3.507,3.182,3.058,3.541,3.925,3.521,3.585,3.721,3.595,3.836,3.774,3.804,3.778,3.731,4.038,0.224,22.2
2026-05-19 15:00:00,4.566,3.91,4.371,4.431,4.41,4.576,3.779,3.616,4.332,4.76,4.58,4.5,4.608,4.753,4.705,4.961,4.885,4.965,4.812,5.037,0.378,21.6
2026-05-19 16:00:00,4.441,3.655,4.223,4.226,4.117,4.479,3.586,3.397,4.149,4.484,4.55,4.346,4.296,4.278,4.602,4.683,4.618,4.725,4.573,4.848,0.4,21.0
2026-05-19 17:00:00,4.523,3.618,4.15,4.211,4.078,4.494,3.64,3.423,4.132,4.186,4.716,4.305,4.149,4.268,4.533,4.617,4.491,4.711,4.523,4.537,0.304,20.5
2026-05-19 18:00:00,4.186,3.244,3.793,3.752,3.579,4.104,3.232,3.026,3.661,3.641,4.137,3.81,3.741,3.853,4.061,4.08,4.019,4.235,4.019,4.146,0.186,19.9
2026-05-19 19:00:00,3.695,2.948,3.424,3.45,3.152,3.667,2.995,2.795,3.277,3.28,3.828,3.43,3.338,3.351,3.603,3.601,3.52,3.761,3.616,3.669,0.072,19.2
2026-05-19 20:00:00,3.22,2.673,2.949,3.084,2.915,3.212,2.773,2.588,2.925,2.893,3.381,3.054,2.985,2.992,3.152,3.226,3.087,3.323,3.197,3.204,0.028,18.9
2026-05-19 21:00:00,3.65,3.112,3.457,3.478,3.342,3.641,3.072,2.89,3.353,3.329,3.731,3.496,3.381,3.438,3.526,3.655,3.6,3.671,3.508,3.543,0.037,18.9
