SYSDATETIME,GFS_wind_speed_80m,GFS_wind_direction_80m,GFS_temperature_2m,GFS_relative_humidity_2m,GFS_wind_gusts_10m,ECMWF_wind_speed_100m,ECMWF_wind_speed_10m,ECMWF_wind_direction_10m,ECMWF_temperature_2m,ECMWF_relative_humidity_2m,ICON_wind_speed_80m,ICON_wind_direction_80m,ICON_temperature_2m,ICON_relative_humidity_2m,ICON_wind_gusts_10m,GEM_wind_speed_80m,GEM_wind_direction_80m,GEM_temperature_2m,GEM_relative_humidity_2m,GEM_wind_gusts_10m,JMA_wind_speed_10m,JMA_wind_direction_10m,JMA_temperature_2m,JMA_relative_humidity_2m
2026-05-17 00:00:00,1.71,7,17.0,69,1.6,1.75,0.22,63.0,16.4,78.0,1.3,4.0,18.3,78.0,0.8,2.2,351.0,15.6,92.0,0.4,0.67,27.0,14.4,92.0
2026-05-17 01:00:00,2.79,345,16.7,69,2.7,2.11,0.54,22.0,16.2,78.0,1.6,4.0,18.2,80.0,1.1,2.0,355.0,15.4,92.0,0.4,0.71,8.0,14.2,94.0
2026-05-17 02:00:00,3.45,350,16.3,71,3.1,2.81,1.1,5.0,15.9,80.0,1.53,11.0,18.2,80.0,1.1,1.9,359.0,15.4,91.0,0.6,0.8,360.0,14.2,95.0
2026-05-17 03:00:00,3.04,27,15.9,72,2.8,3.21,1.5,4.0,15.6,81.0,1.3,23.0,18.2,80.0,1.0,2.1,3.0,15.4,91.0,0.9,0.81,353.0,14.3,96.0
2026-05-17 04:00:00,2.88,34,16.0,69,2.7,3.0,1.43,12.0,15.1,84.0,1.24,14.0,18.2,80.0,0.8,2.6,2.0,15.3,92.0,1.5,0.81,353.0,14.5,96.0
2026-05-17 05:00:00,2.82,27,15.8,68,2.5,2.55,1.17,31.0,14.6,87.0,1.96,345.0,18.2,77.0,1.6,3.4,0.0,15.2,92.0,2.2,0.92,347.0,14.8,97.0
2026-05-17 06:00:00,3.2,360,16.1,68,2.9,2.25,1.06,41.0,14.8,87.0,2.26,347.0,18.2,77.0,1.8,4.0,359.0,15.4,92.0,2.8,0.92,347.0,15.2,96.0
2026-05-17 07:00:00,3.8,360,18.0,63,3.2,2.19,1.12,27.0,16.3,82.0,2.01,6.0,18.2,75.0,1.7,4.3,3.0,15.6,90.0,3.2,0.92,347.0,15.7,96.0
2026-05-17 08:00:00,4.32,5,19.8,58,3.8,2.28,1.41,8.0,18.4,73.0,1.92,9.0,18.3,75.0,1.6,4.5,8.0,16.0,87.0,3.4,1.04,343.0,16.2,95.0
2026-05-17 09:00:00,4.12,14,20.9,56,3.5,2.5,1.81,354.0,20.1,67.0,2.02,9.0,18.6,75.0,2.3,4.6,12.0,16.5,84.0,3.6,1.08,338.0,16.7,94.0
